10.0.0.254,54321,squid23843
10.0.0.2,54321,squid20209
10.0.0.3,54321,squid23306
10.0.0.4,54321,squid19882
10.0.0.5,54321,squid14519
10.0.0.6,54321,squid12116
10.0.0.7,54321,squid11230
10.0.0.8,54321,squid10717
10.0.0.9,54321,squid1948
10.0.0.10,54321,squid31158
10.0.0.11,54321,squid30666
10.0.0.12,54321,squid1331
10.0.0.13,54321,squid22793
10.0.0.14,54321,squid7165
10.0.0.15,54321,squid6279
10.0.0.16,54321,squid16312
10.0.0.17,54321,squid1228
10.0.0.18,54321,squid13292
10.0.0.19,54321,squid26223
10.0.0.20,54321,squid14205
